                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3528,                 2.3939,                 3.1278,                 2.0807,                 3.3199,                 3.0599,                0.22959,                0.24162,                0.14054,                0.05237,                  2.018,                 2.7424,                  2.811,                  1.856,                 3.0731,                 2.6058,             0.00023735,             0.00023735,             0.00023735
                      2,                 1.0152,                0.86753,                 1.5218,                 1.0282,                0.98563,                 1.5073,                0.74765,                0.82774,                0.83494,                0.58212,                0.96036,                0.84801,                 1.5715,                0.96371,                0.95559,                 1.5167,             0.00045966,             0.00045966,             0.00045966
                      3,                0.87176,                0.68947,                 1.3795,                0.90385,                0.73669,                 1.3792,                0.83281,                0.84747,                0.89961,                0.67183,                0.82861,                0.65667,                 1.3907,                0.84308,                0.67741,                 1.3774,             0.00066627,             0.00066627,             0.00066627
                      4,                0.81097,                0.62323,                 1.3254,                0.84682,                0.64709,                 1.3324,                0.91005,                0.92373,                 0.9529,                0.78672,                0.62094,                 0.4525,                 1.1322,                0.64296,                0.43377,                 1.1418,             0.00064331,             0.00064331,             0.00064331
                      5,                0.77702,                0.57438,                 1.2954,                0.81432,                0.58344,                 1.3005,                  0.911,                0.92537,                0.95698,                0.78705,                0.63828,                0.42525,                 1.1592,                0.65844,                0.40695,                  1.154,             0.00064331,             0.00064331,             0.00064331
                      6,                0.73703,                0.53755,                 1.2628,                 0.7734,                0.53991,                 1.2724,                0.84991,                0.84142,                0.90066,                0.68957,                0.76144,                0.61231,                  1.339,                0.78005,                0.64092,                  1.345,             0.00061975,             0.00061975,             0.00061975
                      7,                0.71426,                0.51767,                 1.2422,                0.74925,                0.51762,                 1.2526,                 0.9169,                0.94306,                0.96136,                0.78705,                0.64944,                0.41173,                 1.1719,                 0.6626,                0.38829,                 1.1792,             0.00059619,             0.00059619,             0.00059619
                      8,                 0.6992,                0.49453,                 1.2262,                0.73426,                0.48831,                 1.2364,                0.94193,                0.95036,                0.97174,                0.82686,                0.58314,                0.35811,                 1.0953,                0.59308,                0.33197,                  1.108,             0.00057263,             0.00057263,             0.00057263
                      9,                0.68848,                0.49719,                 1.2253,                0.72124,                0.49083,                 1.2401,                0.93112,                0.95543,                 0.9691,                0.81461,                0.59554,                0.37447,                 1.1233,                0.60299,                0.34788,                 1.1339,             0.00054907,             0.00054907,             0.00054907
                     10,                0.68537,                0.47949,                 1.2181,                0.71735,                0.47271,                 1.2305,                0.93512,                0.95759,                0.97102,                0.82817,                0.56112,                0.34703,                 1.0788,                0.57056,                0.31974,                 1.0884,              0.0005255,              0.0005255,              0.0005255
